run_index,y_pred,variance
1,4.7038,0.78658
1,4.7132,0.74086
1,4.6999,0.69936
1,4.6664,0.66096
1,4.6178,0.62443
1,4.56,0.58864
1,4.4991,0.55285
1,4.4397,0.51692
1,4.3852,0.48127
1,4.3378,0.44688
1,4.299,0.41498
1,4.2706,0.38683
1,4.2546,0.36343
1,4.2532,0.34534
1,4.268,0.33259
1,4.2991,0.32474
1,4.3447,0.32098
1,4.4006,0.32032
1,4.4615,0.32174
1,4.5214,0.32435
1,4.5756,0.32738
1,4.6219,0.33027
1,4.6607,0.33261
1,4.6959,0.33411
1,4.7329,0.3346
1,4.7782,0.33402
1,4.8381,0.3324
1,4.917,0.3299
1,5.0178,0.32673
1,5.1412,0.32318
1,5.2863,0.31949
1,5.4511,0.31588
1,5.6325,0.31254
1,5.8267,0.30972
1,6.0295,0.30789
1,6.2364,0.30789
1,6.4429,0.31113
1,6.6453,0.3196
1,6.8405,0.3358
1,7.0268,0.36252
1,7.204,0.40238
1,7.3725,0.45738
1,7.5341,0.5285
1,7.6907,0.61538
1,7.8447,0.71628
1,7.9985,0.82823
1,8.1545,0.94743
1,8.3143,1.0696
1,8.4787,1.1906
1,8.6463,1.3067
1,8.8135,1.415
1,8.9742,1.5134
1,9.1207,1.6013
1,9.2451,1.6789
1,9.341,1.7478
1,9.4049,1.8105
1,9.4376,1.8697
1,9.4437,1.9284
1,9.43,1.9891
1,9.4042,2.0532
1,9.3724,2.1207
1,9.3378,2.1906
1,9.301,2.2605
1,9.2603,2.3278
1,9.2139,2.3897
1,9.1606,2.4441
1,9.1015,2.4899
1,9.0395,2.5266
1,8.9783,2.5549
1,8.921,2.5756
1,8.8693,2.5897
1,8.8229,2.5978
1,8.7797,2.6005
1,8.7374,2.5978
1,8.6939,2.5894
1,8.6482,2.5753
1,8.5995,2.5555
1,8.547,2.5301
1,8.4878,2.4994
1,8.4172,2.4644
1,8.3282,2.4259
1,8.2129,2.3854
1,8.064,2.3446
1,7.8771,2.3056
1,7.6509,2.2706
1,7.3879,2.2416
1,7.0936,2.2202
1,6.7753,2.2073
1,6.4415,2.2032
1,6.1012,2.2071
1,5.7641,2.2178
1,5.4401,2.2335
1,5.1396,2.2525
1,4.8714,2.2727
1,4.6414,2.2922
1,4.4502,2.3087
1,4.292,2.3199
1,4.1551,2.3235
1,4.024,2.3177
1,3.8832,2.3016
1,3.7213,2.2756
1,3.5339,2.2422
1,3.3249,2.2053
1,3.1051,2.1702
1,2.8885,2.1423
1,2.6887,2.1264
1,2.5152,2.1252
